"region","category","language","type","count"
"Vancouver","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","most_at_work",0
"Montréal","Aboriginal languages","Chilcotin","most_at_home",0
"Montréal","Aboriginal languages","Chilcotin","most_at_work",0
"Toronto","Aboriginal languages","Chilcotin","most_at_home",0
"Toronto","Aboriginal languages","Chilcotin","most_at_work",0
"Calgary","Aboriginal languages","Chilcotin","most_at_home",0
"Calgary","Aboriginal languages","Chilcotin","most_at_work",0
"Edmonton","Aboriginal languages","Chilcotin","most_at_home",0
"Edmonton","Aboriginal languages","Chilcotin","most_at_work",0
"Vancouver","Aboriginal languages","Chilcotin","most_at_home",0
"Vancouver","Aboriginal languages","Chilcotin","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","most_at_home",40
"Montréal","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","most_at_home",85
"Toronto","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","most_at_home",5
"Calgary","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","most_at_home",10
"Edmonton","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","most_at_home",105
"Vancouver","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","most_at_home",2160
"Montréal","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","most_at_work",210
"Toronto","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","most_at_home",6885
"Toronto","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","most_at_work",915
"Calgary","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","most_at_home",1605
"Calgary","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","most_at_work",125
"Edmonton","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","most_at_home",1440
"Edmonton","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","most_at_work",95
"Vancouver","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","most_at_home",5045
"Vancouver","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.","most_at_work",845
"Montréal","Aboriginal languages","Comox","most_at_home",5
"Montréal","Aboriginal languages","Comox","most_at_work",0
"Toronto","Aboriginal languages","Comox","most_at_home",0
"Toronto","Aboriginal languages","Comox","most_at_work",0
"Calgary","Aboriginal languages","Comox","most_at_home",0
"Calgary","Aboriginal languages","Comox","most_at_work",0
"Edmonton","Aboriginal languages","Comox","most_at_home",0
"Edmonton","Aboriginal languages","Comox","most_at_work",0
"Vancouver","Aboriginal languages","Comox","most_at_home",0
"Vancouver","Aboriginal languages","Comox","most_at_work",0
"Montréal","Aboriginal languages","Cree, n.o.s.","most_at_home",65
"Montréal","Aboriginal languages","Cree, n.o.s.","most_at_work",10
"Toronto","Aboriginal languages","Cree, n.o.s.","most_at_home",10
"Toronto","Aboriginal languages","Cree, n.o.s.","most_at_work",0
"Calgary","Aboriginal languages","Cree, n.o.s.","most_at_home",60
"Calgary","Aboriginal languages","Cree, n.o.s.","most_at_work",0
"Edmonton","Aboriginal languages","Cree, n.o.s.","most_at_home",330
"Edmonton","Aboriginal languages","Cree, n.o.s.","most_at_work",10
"Vancouver","Aboriginal languages","Cree, n.o.s.","most_at_home",15
"Vancouver","Aboriginal languages","Cree, n.o.s.","most_at_work",10
"Montréal","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","most_at_home",420
"Montréal","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","most_at_home",775
"Toronto","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","most_at_work",10
"Calgary","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","most_at_home",65
"Calgary","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","most_at_home",145
"Edmonton","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","most_at_home",75
"Vancouver","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Creole, n.o.s.","most_at_home",18775
"Montréal","Non-Official & Non-Aboriginal languages","Creole, n.o.s.","most_at_work",245
"Toronto","Non-Official & Non-Aboriginal languages","Creole, n.o.s.","most_at_home",1950
"Toronto","Non-Official & Non-Aboriginal languages","Creole, n.o.s.","most_at_work",20
"Calgary","Non-Official & Non-Aboriginal languages","Creole, n.o.s.","most_at_home",220
"Calgary","Non-Official & Non-Aboriginal languages","Creole, n.o.s.","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Creole, n.o.s.","most_at_home",380
"Edmonton","Non-Official & Non-Aboriginal languages","Creole, n.o.s.","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Creole, n.o.s.","most_at_home",205
"Vancouver","Non-Official & Non-Aboriginal languages","Creole, n.o.s.","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Croatian","most_at_home",780
"Montréal","Non-Official & Non-Aboriginal languages","Croatian","most_at_work",10
"Toronto","Non-Official & Non-Aboriginal languages","Croatian","most_at_home",5945
"Toronto","Non-Official & Non-Aboriginal languages","Croatian","most_at_work",90
"Calgary","Non-Official & Non-Aboriginal languages","Croatian","most_at_home",745
"Calgary","Non-Official & Non-Aboriginal languages","Croatian","most_at_work",15
"Edmonton","Non-Official & Non-Aboriginal languages","Croatian","most_at_home",895
"Edmonton","Non-Official & Non-Aboriginal languages","Croatian","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Croatian","most_at_home",1795
"Vancouver","Non-Official & Non-Aboriginal languages","Croatian","most_at_work",30
"Montréal","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","most_at_home",5
"Montréal","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","most_at_home",30
"Toronto","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","most_at_home",5
"Calgary","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","most_at_home",10
"Edmonton","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","most_at_home",5
"Vancouver","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Czech","most_at_home",380
"Montréal","Non-Official & Non-Aboriginal languages","Czech","most_at_work",10
"Toronto","Non-Official & Non-Aboriginal languages","Czech","most_at_home",1415
"Toronto","Non-Official & Non-Aboriginal languages","Czech","most_at_work",10
"Calgary","Non-Official & Non-Aboriginal languages","Czech","most_at_home",425
"Calgary","Non-Official & Non-Aboriginal languages","Czech","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Czech","most_at_home",255
"Edmonton","Non-Official & Non-Aboriginal languages","Czech","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Czech","most_at_home",1030
"Vancouver","Non-Official & Non-Aboriginal languages","Czech","most_at_work",20
"Montréal","Aboriginal languages","Dakota","most_at_home",0
"Montréal","Aboriginal languages","Dakota","most_at_work",0
"Toronto","Aboriginal languages","Dakota","most_at_home",5
"Toronto","Aboriginal languages","Dakota","most_at_work",0
"Calgary","Aboriginal languages","Dakota","most_at_home",10
"Calgary","Aboriginal languages","Dakota","most_at_work",0
"Edmonton","Aboriginal languages","Dakota","most_at_home",20
"Edmonton","Aboriginal languages","Dakota","most_at_work",0
"Vancouver","Aboriginal languages","Dakota","most_at_home",10
"Vancouver","Aboriginal languages","Dakota","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Danish","most_at_home",40
"Montréal","Non-Official & Non-Aboriginal languages","Danish","most_at_work",10
"Toronto","Non-Official & Non-Aboriginal languages","Danish","most_at_home",140
"Toronto","Non-Official & Non-Aboriginal languages","Danish","most_at_work",15
"Calgary","Non-Official & Non-Aboriginal languages","Danish","most_at_home",70
"Calgary","Non-Official & Non-Aboriginal languages","Danish","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Danish","most_at_home",45
"Edmonton","Non-Official & Non-Aboriginal languages","Danish","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Danish","most_at_home",180
"Vancouver","Non-Official & Non-Aboriginal languages","Danish","most_at_work",10
"Montréal","Aboriginal languages","Dene","most_at_home",0
"Montréal","Aboriginal languages","Dene","most_at_work",0
"Toronto","Aboriginal languages","Dene","most_at_home",0
"Toronto","Aboriginal languages","Dene","most_at_work",0
"Calgary","Aboriginal languages","Dene","most_at_home",10
"Calgary","Aboriginal languages","Dene","most_at_work",0
"Edmonton","Aboriginal languages","Dene","most_at_home",10
"Edmonton","Aboriginal languages","Dene","most_at_work",0
"Vancouver","Aboriginal languages","Dene","most_at_home",10
"Vancouver","Aboriginal languages","Dene","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Dinka","most_at_home",0
"Montréal","Non-Official & Non-Aboriginal languages","Dinka","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Dinka","most_at_home",10
"Toronto","Non-Official & Non-Aboriginal languages","Dinka","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Dinka","most_at_home",445
"Calgary","Non-Official & Non-Aboriginal languages","Dinka","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Dinka","most_at_home",205
"Edmonton","Non-Official & Non-Aboriginal languages","Dinka","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Dinka","most_at_home",40
"Vancouver","Non-Official & Non-Aboriginal languages","Dinka","most_at_work",0
"Montréal","Aboriginal languages","Dogrib (Tlicho)","most_at_home",0
"Montréal","Aboriginal languages","Dogrib (Tlicho)","most_at_work",0
"Toronto","Aboriginal languages","Dogrib (Tlicho)","most_at_home",0
"Toronto","Aboriginal languages","Dogrib (Tlicho)","most_at_work",0
"Calgary","Aboriginal languages","Dogrib (Tlicho)","most_at_home",0
"Calgary","Aboriginal languages","Dogrib (Tlicho)","most_at_work",0
"Edmonton","Aboriginal languages","Dogrib (Tlicho)","most_at_home",0
"Edmonton","Aboriginal languages","Dogrib (Tlicho)","most_at_work",0
"Vancouver","Aboriginal languages","Dogrib (Tlicho)","most_at_home",0
"Vancouver","Aboriginal languages","Dogrib (Tlicho)","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","most_at_home",5
"Montréal","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","most_at_home",95
"Toronto","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","most_at_home",20
"Calgary","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","most_at_home",10
"Edmonton","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","most_at_home",15
"Vancouver","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Dutch","most_at_home",245
"Montréal","Non-Official & Non-Aboriginal languages","Dutch","most_at_work",20
"Toronto","Non-Official & Non-Aboriginal languages","Dutch","most_at_home",650
"Toronto","Non-Official & Non-Aboriginal languages","Dutch","most_at_work",65
"Calgary","Non-Official & Non-Aboriginal languages","Dutch","most_at_home",490
"Calgary","Non-Official & Non-Aboriginal languages","Dutch","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Dutch","most_at_home",275
"Edmonton","Non-Official & Non-Aboriginal languages","Dutch","most_at_work",20
"Vancouver","Non-Official & Non-Aboriginal languages","Dutch","most_at_home",690
"Vancouver","Non-Official & Non-Aboriginal languages","Dutch","most_at_work",70
"Montréal","Non-Official & Non-Aboriginal languages","Edo","most_at_home",10
"Montréal","Non-Official & Non-Aboriginal languages","Edo","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Edo","most_at_home",290
"Toronto","Non-Official & Non-Aboriginal languages","Edo","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Edo","most_at_home",25
"Calgary","Non-Official & Non-Aboriginal languages","Edo","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Edo","most_at_home",35
"Edmonton","Non-Official & Non-Aboriginal languages","Edo","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Edo","most_at_home",15
"Vancouver","Non-Official & Non-Aboriginal languages","Edo","most_at_work",0
"Montréal","Official languages","English","most_at_home",620510
"Montréal","Official languages","English","most_at_work",412120
"Toronto","Official languages","English","most_at_home",3836770
"Toronto","Official languages","English","most_at_work",3218725
"Calgary","Official languages","English","most_at_home",1065070
"Calgary","Official languages","English","most_at_work",844740
"Edmonton","Official languages","English","most_at_home",1050410
"Edmonton","Official languages","English","most_at_work",792700
"Vancouver","Official languages","English","most_at_home",1622735
"Vancouver","Official languages","English","most_at_work",1330555
"Montréal","Non-Official & Non-Aboriginal languages","Estonian","most_at_home",25
"Montréal","Non-Official & Non-Aboriginal languages","Estonian","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Estonian","most_at_home",650
"Toronto","Non-Official & Non-Aboriginal languages","Estonian","most_at_work",50
"Calgary","Non-Official & Non-Aboriginal languages","Estonian","most_at_home",15
"Calgary","Non-Official & Non-Aboriginal languages","Estonian","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Estonian","most_at_home",5
"Edmonton","Non-Official & Non-Aboriginal languages","Estonian","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Estonian","most_at_home",75
"Vancouver","Non-Official & Non-Aboriginal languages","Estonian","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Ewe","most_at_home",90
"Montréal","Non-Official & Non-Aboriginal languages","Ewe","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Ewe","most_at_home",95
"Toronto","Non-Official & Non-Aboriginal languages","Ewe","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Ewe","most_at_home",15
"Calgary","Non-Official & Non-Aboriginal languages","Ewe","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Ewe","most_at_home",40
"Edmonton","Non-Official & Non-Aboriginal languages","Ewe","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Ewe","most_at_home",15
"Vancouver","Non-Official & Non-Aboriginal languages","Ewe","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Fijian","most_at_home",0
"Montréal","Non-Official & Non-Aboriginal languages","Fijian","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Fijian","most_at_home",10
"Toronto","Non-Official & Non-Aboriginal languages","Fijian","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Fijian","most_at_home",20
"Calgary","Non-Official & Non-Aboriginal languages","Fijian","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Fijian","most_at_home",25
"Edmonton","Non-Official & Non-Aboriginal languages","Fijian","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Fijian","most_at_home",100
"Vancouver","Non-Official & Non-Aboriginal languages","Fijian","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Finnish","most_at_home",40
"Montréal","Non-Official & Non-Aboriginal languages","Finnish","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Finnish","most_at_home",510
"Toronto","Non-Official & Non-Aboriginal languages","Finnish","most_at_work",45
"Calgary","Non-Official & Non-Aboriginal languages","Finnish","most_at_home",50
"Calgary","Non-Official & Non-Aboriginal languages","Finnish","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Finnish","most_at_home",30
"Edmonton","Non-Official & Non-Aboriginal languages","Finnish","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Finnish","most_at_home",430
"Vancouver","Non-Official & Non-Aboriginal languages","Finnish","most_at_work",20
"Montréal","Official languages","French","most_at_home",2669195
"Montréal","Official languages","French","most_at_work",1607550
"Toronto","Official languages","French","most_at_home",29800
"Toronto","Official languages","French","most_at_work",11940
"Calgary","Official languages","French","most_at_home",8630
"Calgary","Official languages","French","most_at_work",2140
"Edmonton","Official languages","French","most_at_home",10950
"Edmonton","Official languages","French","most_at_work",2520
"Vancouver","Official languages","French","most_at_home",8630
"Vancouver","Official languages","French","most_at_work",3245
"Montréal","Non-Official & Non-Aboriginal languages","Frisian","most_at_home",0
"Montréal","Non-Official & Non-Aboriginal languages","Frisian","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Frisian","most_at_home",5
"Toronto","Non-Official & Non-Aboriginal languages","Frisian","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Frisian","most_at_home",5
"Calgary","Non-Official & Non-Aboriginal languages","Frisian","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Frisian","most_at_home",5
"Edmonton","Non-Official & Non-Aboriginal languages","Frisian","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Frisian","most_at_home",5
"Vancouver","Non-Official & Non-Aboriginal languages","Frisian","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","most_at_home",445
"Montréal","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","most_at_home",75
"Toronto","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","most_at_home",45
"Calgary","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","most_at_home",55
"Edmonton","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","most_at_home",0
"Vancouver","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Ga","most_at_home",15
"Montréal","Non-Official & Non-Aboriginal languages","Ga","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Ga","most_at_home",145
"Toronto","Non-Official & Non-Aboriginal languages","Ga","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Ga","most_at_home",20
"Calgary","Non-Official & Non-Aboriginal languages","Ga","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Ga","most_at_home",15
"Edmonton","Non-Official & Non-Aboriginal languages","Ga","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Ga","most_at_home",0
"Vancouver","Non-Official & Non-Aboriginal languages","Ga","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Ganda","most_at_home",0
"Montréal","Non-Official & Non-Aboriginal languages","Ganda","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Ganda","most_at_home",155
"Toronto","Non-Official & Non-Aboriginal languages","Ganda","most_at_work",20
"Calgary","Non-Official & Non-Aboriginal languages","Ganda","most_at_home",5
"Calgary","Non-Official & Non-Aboriginal languages","Ganda","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Ganda","most_at_home",80
"Edmonton","Non-Official & Non-Aboriginal languages","Ganda","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Ganda","most_at_home",5
"Vancouver","Non-Official & Non-Aboriginal languages","Ganda","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Georgian","most_at_home",70
"Montréal","Non-Official & Non-Aboriginal languages","Georgian","most_at_work",10
"Toronto","Non-Official & Non-Aboriginal languages","Georgian","most_at_home",745
"Toronto","Non-Official & Non-Aboriginal languages","Georgian","most_at_work",10
"Calgary","Non-Official & Non-Aboriginal languages","Georgian","most_at_home",80
"Calgary","Non-Official & Non-Aboriginal languages","Georgian","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Georgian","most_at_home",55
"Edmonton","Non-Official & Non-Aboriginal languages","Georgian","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Georgian","most_at_home",15
"Vancouver","Non-Official & Non-Aboriginal languages","Georgian","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","German","most_at_home",1585
"Montréal","Non-Official & Non-Aboriginal languages","German","most_at_work",205
"Toronto","Non-Official & Non-Aboriginal languages","German","most_at_home",3585
"Toronto","Non-Official & Non-Aboriginal languages","German","most_at_work",240
"Calgary","Non-Official & Non-Aboriginal languages","German","most_at_home",1540
"Calgary","Non-Official & Non-Aboriginal languages","German","most_at_work",75
"Edmonton","Non-Official & Non-Aboriginal languages","German","most_at_home",2315
"Edmonton","Non-Official & Non-Aboriginal languages","German","most_at_work",65
"Vancouver","Non-Official & Non-Aboriginal languages","German","most_at_home",2895
"Vancouver","Non-Official & Non-Aboriginal languages","German","most_at_work",210
"Montréal","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","most_at_home",10
"Montréal","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","most_at_home",10
"Toronto","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","most_at_home",5
"Calgary","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","most_at_home",5
"Edmonton","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","most_at_home",5
"Vancouver","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.","most_at_work",0
"Montréal","Aboriginal languages","Gitxsan (Gitksan)","most_at_home",0
"Montréal","Aboriginal languages","Gitxsan (Gitksan)","most_at_work",0
"Toronto","Aboriginal languages","Gitxsan (Gitksan)","most_at_home",0
"Toronto","Aboriginal languages","Gitxsan (Gitksan)","most_at_work",0
"Calgary","Aboriginal languages","Gitxsan (Gitksan)","most_at_home",0
"Calgary","Aboriginal languages","Gitxsan (Gitksan)","most_at_work",0
"Edmonton","Aboriginal languages","Gitxsan (Gitksan)","most_at_home",0
"Edmonton","Aboriginal languages","Gitxsan (Gitksan)","most_at_work",0
"Vancouver","Aboriginal languages","Gitxsan (Gitksan)","most_at_home",10
"Vancouver","Aboriginal languages","Gitxsan (Gitksan)","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Greek","most_at_home",18255
"Montréal","Non-Official & Non-Aboriginal languages","Greek","most_at_work",515
"Toronto","Non-Official & Non-Aboriginal languages","Greek","most_at_home",16945
"Toronto","Non-Official & Non-Aboriginal languages","Greek","most_at_work",340
"Calgary","Non-Official & Non-Aboriginal languages","Greek","most_at_home",500
"Calgary","Non-Official & Non-Aboriginal languages","Greek","most_at_work",10
"Edmonton","Non-Official & Non-Aboriginal languages","Greek","most_at_home",375
"Edmonton","Non-Official & Non-Aboriginal languages","Greek","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Greek","most_at_home",1730
"Vancouver","Non-Official & Non-Aboriginal languages","Greek","most_at_work",60
"Montréal","Non-Official & Non-Aboriginal languages","Gujarati","most_at_home",3805
"Montréal","Non-Official & Non-Aboriginal languages","Gujarati","most_at_work",20
"Toronto","Non-Official & Non-Aboriginal languages","Gujarati","most_at_home",38270
"Toronto","Non-Official & Non-Aboriginal languages","Gujarati","most_at_work",615
"Calgary","Non-Official & Non-Aboriginal languages","Gujarati","most_at_home",3125
"Calgary","Non-Official & Non-Aboriginal languages","Gujarati","most_at_work",20
"Edmonton","Non-Official & Non-Aboriginal languages","Gujarati","most_at_home",3650
"Edmonton","Non-Official & Non-Aboriginal languages","Gujarati","most_at_work",60
"Vancouver","Non-Official & Non-Aboriginal languages","Gujarati","most_at_home",2740
"Vancouver","Non-Official & Non-Aboriginal languages","Gujarati","most_at_work",40
"Montréal","Aboriginal languages","Gwich'in","most_at_home",0
"Montréal","Aboriginal languages","Gwich'in","most_at_work",0
"Toronto","Aboriginal languages","Gwich'in","most_at_home",5
"Toronto","Aboriginal languages","Gwich'in","most_at_work",0
"Calgary","Aboriginal languages","Gwich'in","most_at_home",5
"Calgary","Aboriginal languages","Gwich'in","most_at_work",0
"Edmonton","Aboriginal languages","Gwich'in","most_at_home",0
"Edmonton","Aboriginal languages","Gwich'in","most_at_work",0
"Vancouver","Aboriginal languages","Gwich'in","most_at_home",0
"Vancouver","Aboriginal languages","Gwich'in","most_at_work",0
"Montréal","Aboriginal languages","Haida","most_at_home",0
"Montréal","Aboriginal languages","Haida","most_at_work",0
"Toronto","Aboriginal languages","Haida","most_at_home",0
"Toronto","Aboriginal languages","Haida","most_at_work",0
"Calgary","Aboriginal languages","Haida","most_at_home",0
"Calgary","Aboriginal languages","Haida","most_at_work",0
"Edmonton","Aboriginal languages","Haida","most_at_home",0
"Edmonton","Aboriginal languages","Haida","most_at_work",0
"Vancouver","Aboriginal languages","Haida","most_at_home",5
"Vancouver","Aboriginal languages","Haida","most_at_work",0
"Montréal","Aboriginal languages","Haisla","most_at_home",0
"Montréal","Aboriginal languages","Haisla","most_at_work",0
"Toronto","Aboriginal languages","Haisla","most_at_home",0
"Toronto","Aboriginal languages","Haisla","most_at_work",0
"Calgary","Aboriginal languages","Haisla","most_at_home",0
"Calgary","Aboriginal languages","Haisla","most_at_work",0
"Edmonton","Aboriginal languages","Haisla","most_at_home",0
"Edmonton","Aboriginal languages","Haisla","most_at_work",0
"Vancouver","Aboriginal languages","Haisla","most_at_home",0
"Vancouver","Aboriginal languages","Haisla","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Haitian Creole","most_at_home",780
"Montréal","Non-Official & Non-Aboriginal languages","Haitian Creole","most_at_work",10
"Toronto","Non-Official & Non-Aboriginal languages","Haitian Creole","most_at_home",120
"Toronto","Non-Official & Non-Aboriginal languages","Haitian Creole","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Haitian Creole","most_at_home",5
"Calgary","Non-Official & Non-Aboriginal languages","Haitian Creole","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Haitian Creole","most_at_home",40
"Edmonton","Non-Official & Non-Aboriginal languages","Haitian Creole","most_at_work",0
