id,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price
924,Downtown,Entire home/apt,2,1 bath,1,1,94
925,Hastings-Sunrise,Private room,2,1 shared bath,1,1,84
926,Kitsilano,Entire home/apt,2,1 bath,1,1,75
927,Mount Pleasant,Entire home/apt,2,1 bath,1,1,65
928,Downtown,Entire home/apt,2,1 bath,1,1,115
929,Downtown,Entire home/apt,2,1 bath,1,1,114
930,Downtown,Entire home/apt,2,1 bath,1,1,125
931,Downtown,Entire home/apt,2,1 bath,1,5,130
932,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,59
933,Downtown,Entire home/apt,2,1 bath,1,1,102
934,Dunbar Southlands,Entire home/apt,5,1 bath,2,2,146
935,Kitsilano,Private room,2,1 shared bath,1,1,56
936,Fairview,Entire home/apt,4,1 bath,2,2,154
937,Renfrew-Collingwood,Entire home/apt,4,1 bath,2,2,125
938,Downtown,Entire home/apt,7,2 baths,2,3,269
939,Kitsilano,Private room,1,1 shared bath,1,1,45
940,Kitsilano,Private room,1,1 shared bath,1,1,45
941,Mount Pleasant,Entire home/apt,6,1.5 baths,3,3,225
942,Downtown,Entire home/apt,2,1 bath,1,1,116
943,Mount Pleasant,Entire home/apt,2,1 bath,1,1,122
944,Kitsilano,Entire home/apt,4,2 baths,2,2,325
945,Fairview,Entire home/apt,4,1.5 baths,4,6,400
946,Kensington-Cedar Cottage,Private room,1,1 shared bath,1,1,30
947,Downtown Eastside,Private room,2,1 shared bath,1,1,95
948,Kitsilano,Entire home/apt,5,1 bath,2,3,200
949,Downtown,Entire home/apt,2,1 bath,1,1,130
950,Riley Park,Private room,2,1 private bath,1,1,96
951,Downtown,Entire home/apt,2,1 bath,1,1,65
952,Arbutus Ridge,Entire home/apt,6,2 baths,3,3,150
953,West End,Entire home/apt,3,1 bath,1,2,85
954,Renfrew-Collingwood,Private room,2,1 shared bath,1,1,28
955,Downtown,Entire home/apt,2,1 bath,1,1,165
956,Dunbar Southlands,Entire home/apt,3,1 bath,1,2,72
957,Kitsilano,Entire home/apt,4,2.5 baths,2,3,250
958,South Cambie,Entire home/apt,10,3 baths,4,6,500
959,Kitsilano,Private room,1,1.5 shared baths,1,1,85
960,Downtown,Entire home/apt,2,1 bath,1,1,95
961,Downtown,Entire home/apt,6,2 baths,3,3,350
962,Mount Pleasant,Entire home/apt,2,1 bath,1,1,115
963,Renfrew-Collingwood,Entire home/apt,14,4 baths,5,9,230
964,Downtown,Entire home/apt,4,2 baths,2,2,179
965,Downtown,Entire home/apt,3,1 bath,2,2,79
966,Kitsilano,Entire home/apt,4,1 bath,2,2,243
967,Mount Pleasant,Entire home/apt,3,1 bath,1,1,97
968,Mount Pleasant,Entire home/apt,2,1 bath,1,2,82
969,Downtown Eastside,Entire home/apt,7,2 baths,3,1,240
970,Downtown,Entire home/apt,3,1 bath,2,3,252
971,Downtown,Entire home/apt,6,2 baths,2,3,250
972,Kitsilano,Private room,1,8 baths,1,1,37
973,Downtown,Entire home/apt,2,1 bath,1,1,69
974,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,100
975,Downtown,Entire home/apt,2,1 bath,1,1,120
976,Marpole,Entire home/apt,1,1 bath,1,2,75
977,West End,Entire home/apt,4,1 bath,1,1,80
978,Mount Pleasant,Entire home/apt,2,1 bath,1,1,106
979,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,3,101
980,Dunbar Southlands,Entire home/apt,4,1 bath,2,2,95
981,Riley Park,Entire home/apt,4,1 bath,2,2,220
982,Downtown Eastside,Entire home/apt,2,1 bath,1,1,106
983,Downtown,Entire home/apt,2,1 bath,1,1,300
984,Kitsilano,Entire home/apt,2,1 bath,1,1,86
985,Mount Pleasant,Entire home/apt,4,1 bath,1,1,127
986,Downtown,Entire home/apt,2,1 bath,1,1,80
987,Mount Pleasant,Private room,1,1 private bath,1,1,75
988,Grandview-Woodland,Entire home/apt,4,1 bath,2,3,145
989,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,110
990,Downtown,Entire home/apt,4,2 baths,2,2,250
991,West End,Private room,2,1 bath,1,1,92
992,Downtown,Entire home/apt,4,1 bath,1,1,120
993,Downtown Eastside,Private room,2,1 private bath,1,1,120
994,Kensington-Cedar Cottage,Entire home/apt,11,3 baths,4,6,550
995,Riley Park,Entire home/apt,4,1 bath,2,3,150
996,Downtown Eastside,Entire home/apt,2,1 bath,1,1,95
997,Dunbar Southlands,Private room,1,1.5 shared baths,1,1,55
998,Downtown,Entire home/apt,2,1 bath,1,1,106
999,Downtown,Entire home/apt,4,2 baths,2,2,200
1000,Downtown Eastside,Entire home/apt,4,1 bath,2,2,175
1001,Grandview-Woodland,Entire home/apt,10,1 bath,3,5,83
1002,West End,Entire home/apt,2,1 bath,1,1,140
1003,South Cambie,Entire home/apt,2,1 bath,1,1,120
1004,Riley Park,Entire home/apt,4,1 bath,1,2,86
1005,Downtown,Entire home/apt,2,1 bath,1,1,105
1006,Grandview-Woodland,Entire home/apt,5,1 bath,3,4,218
1007,Hastings-Sunrise,Entire home/apt,2,1 bath,1,2,98
1008,Riley Park,Private room,2,1 shared bath,1,1,131
1009,Downtown,Entire home/apt,13,1 bath,3,3,206
1010,Renfrew-Collingwood,Private room,2,1 private bath,1,1,65
1011,Strathcona,Entire home/apt,2,1 bath,1,1,120
1012,Riley Park,Entire home/apt,4,2.5 baths,2,2,240.14
1013,Grandview-Woodland,Entire home/apt,6,2 baths,3,3,100
1014,Grandview-Woodland,Entire home/apt,10,3 baths,5,9,420
1015,Mount Pleasant,Entire home/apt,4,1 bath,2,2,96
1016,Downtown Eastside,Entire home/apt,4,2 baths,1,2,400
1017,Kitsilano,Entire home/apt,7,2.5 baths,4,5,399
1018,Mount Pleasant,Entire home/apt,2,1 bath,1,1,91
1019,Kerrisdale,Entire home/apt,2,1 bath,1,1,139
1020,Downtown,Entire home/apt,6,2 baths,2,3,245
1021,Renfrew-Collingwood,Entire home/apt,10,1 bath,3,3,100
1022,Victoria-Fraserview,Entire home/apt,3,1 bath,1,1,79
1023,West Point Grey,Entire home/apt,2,1 bath,1,1,94
1024,Downtown,Entire home/apt,2,1 bath,1,1,190
1025,Kensington-Cedar Cottage,Entire home/apt,3,1 bath,1,1,120
1026,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,115
1027,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,67
1028,Riley Park,Entire home/apt,6,2 baths,3,4,258
1029,Downtown,Entire home/apt,6,2 baths,2,2,295
1030,Downtown,Entire home/apt,3,1 bath,1,1,158
1031,Dunbar Southlands,Entire home/apt,8,1.5 baths,4,4,400
1032,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,1,2,100
1033,Dunbar Southlands,Entire home/apt,5,2 baths,3,3,385
1034,Mount Pleasant,Entire home/apt,6,1 bath,2,3,80
1035,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,325
1036,Downtown,Entire home/apt,4,1 bath,1,1,157
1037,Kensington-Cedar Cottage,Entire home/apt,6,2.5 baths,3,4,445
1038,Mount Pleasant,Entire home/apt,4,2 baths,2,2,345
1039,West End,Entire home/apt,2,1.5 baths,1,1,111
1040,Kitsilano,Private room,1,1 bath,1,1,55
1041,Kensington-Cedar Cottage,Entire home/apt,2,3.5 baths,5,7,143
1042,Kensington-Cedar Cottage,Entire home/apt,7,2 baths,3,3,261
1043,Kitsilano,Private room,1,1 shared bath,1,1,66
1044,West End,Entire home/apt,4,2.5 baths,2,2,337
1045,Downtown,Entire home/apt,2,2 baths,2,2,150
1046,Kensington-Cedar Cottage,Entire home/apt,6,1.5 baths,3,3,150
1047,Downtown,Private room,2,2 shared baths,1,1,100
1048,Downtown,Entire home/apt,4,2 baths,2,2,100
1049,Kensington-Cedar Cottage,Private room,1,1 private bath,1,1,40
1050,Downtown,Entire home/apt,14,2.5 baths,3,3,196
1051,Hastings-Sunrise,Entire home/apt,4,1 bath,2,3,133
1052,Kitsilano,Entire home/apt,4,1 bath,2,2,114
1053,Kensington-Cedar Cottage,Entire home/apt,10,2 baths,3,6,375
1054,Mount Pleasant,Entire home/apt,3,1 bath,1,2,120
1055,Downtown,Private room,2,1 private bath,1,1,139
1056,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,117
1057,Kitsilano,Entire home/apt,6,1 bath,2,2,265
1058,Mount Pleasant,Entire home/apt,4,1 bath,2,3,228
1059,Sunset,Entire home/apt,4,1.5 baths,2,2,150
1060,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,3,110
1061,Victoria-Fraserview,Entire home/apt,3,1 bath,2,2,100
1062,Riley Park,Entire home/apt,6,1 bath,3,8,310
1063,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,100
1064,Kitsilano,Entire home/apt,6,2 baths,3,3,395
1065,West End,Private room,1,1 shared bath,1,1,60
1066,Grandview-Woodland,Private room,2,1 shared bath,1,1,68
1067,Grandview-Woodland,Entire home/apt,4,1 bath,2,2,185
1068,Marpole,Entire home/apt,4,1 bath,2,2,120
1069,Downtown,Entire home/apt,4,2 baths,2,2,667.86
1070,Downtown Eastside,Entire home/apt,2,1 bath,1,1,99
1071,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,105
1072,Fairview,Entire home/apt,3,1 bath,2,2,205
1073,Mount Pleasant,Entire home/apt,4,1 bath,1,3,62
1074,West End,Entire home/apt,4,2 baths,2,2,289
1075,Mount Pleasant,Entire home/apt,8,2.5 baths,4,4,279
1076,Downtown,Entire home/apt,3,1 bath,1,1,100
1077,Hastings-Sunrise,Entire home/apt,3,1 bath,1,2,123
1078,Kensington-Cedar Cottage,Entire home/apt,6,2 baths,2,3,115
1079,Hastings-Sunrise,Entire home/apt,5,1 bath,1,3,79
1080,Downtown,Entire home/apt,4,2 baths,2,2,250
1081,Kitsilano,Entire home/apt,2,1 bath,1,1,175
1082,Kensington-Cedar Cottage,Entire home/apt,6,1 bath,2,2,118
1083,Downtown,Entire home/apt,3,1 bath,1,2,100
1084,Grandview-Woodland,Entire home/apt,4,1 bath,2,2,129
1085,Downtown Eastside,Private room,2,1 shared bath,1,1,100
1086,Hastings-Sunrise,Entire home/apt,8,3 baths,4,5,297
1087,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,250
1088,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,85
1089,Kitsilano,Entire home/apt,10,2 baths,2,2,380
1090,Downtown,Entire home/apt,3,1 bath,1,1,142
1091,Downtown,Private room,2,1 private bath,1,1,142
1092,Downtown,Entire home/apt,4,1 bath,2,3,104
1093,Mount Pleasant,Entire home/apt,2,1 bath,1,1,112
1094,Downtown Eastside,Shared room,2,1 shared bath,1,1,149
1095,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,40
1096,Kitsilano,Entire home/apt,4,1 bath,1,2,199
1097,Kensington-Cedar Cottage,Entire home/apt,3,1 bath,2,2,70
1098,Hastings-Sunrise,Entire home/apt,6,2 baths,3,2,120
1099,Mount Pleasant,Entire home/apt,2,1 bath,1,1,150
1100,Kensington-Cedar Cottage,Entire home/apt,7,2.5 baths,3,4,249
1101,West End,Private room,2,1 shared bath,1,1,90
1102,Hastings-Sunrise,Entire home/apt,2,1 bath,1,2,99
1103,Kitsilano,Entire home/apt,2,1 bath,1,1,150
1104,Mount Pleasant,Entire home/apt,6,2 baths,2,3,338
1105,Downtown Eastside,Entire home/apt,2,1 bath,1,1,189
1106,Grandview-Woodland,Entire home/apt,6,1.5 baths,3,4,295
1107,Kensington-Cedar Cottage,Private room,1,1 private bath,1,1,33
1108,South Cambie,Entire home/apt,6,1 bath,1,2,67
1109,Downtown,Entire home/apt,2,1 bath,1,1,104
1110,Riley Park,Entire home/apt,4,1 bath,2,2,124
1111,Fairview,Private room,2,1 shared bath,1,1,35
1112,Downtown,Entire home/apt,3,1 bath,2,2,135
1113,Kensington-Cedar Cottage,Entire home/apt,6,2 baths,3,3,195
1114,Kitsilano,Entire home/apt,4,1 bath,3,3,357
1115,Downtown,Private room,1,1 shared bath,1,1,190
1116,Grandview-Woodland,Entire home/apt,7,2 baths,3,3,155
1117,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,71
1118,Grandview-Woodland,Private room,2,1 shared bath,1,1,62
1119,Sunset,Entire home/apt,4,1 bath,2,2,97
1120,Riley Park,Entire home/apt,4,1 bath,2,3,70
1121,Downtown,Entire home/apt,4,1 bath,1,1,90
1122,Downtown,Entire home/apt,2,1 bath,1,1,85
1123,Downtown,Entire home/apt,2,1 bath,1,1,239
1124,Hastings-Sunrise,Private room,2,1 shared bath,1,1,69
1125,Downtown,Entire home/apt,4,1 bath,1,2,126
1126,Renfrew-Collingwood,Entire home/apt,6,1.5 baths,3,3,178
1127,Dunbar Southlands,Entire home/apt,5,2.5 baths,3,3,399
1128,Kitsilano,Entire home/apt,4,1 bath,2,2,125
1129,West Point Grey,Entire home/apt,7,2 baths,3,3,642
1130,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,60
1131,Kitsilano,Entire home/apt,3,1 bath,1,2,124
1132,Downtown,Entire home/apt,2,1 bath,1,1,140
1133,Kitsilano,Private room,1,1 shared bath,1,1,40
1134,Renfrew-Collingwood,Private room,2,1 private bath,1,1,70
1135,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,125
1136,Kensington-Cedar Cottage,Private room,4,1 private bath,1,2,89
1137,West Point Grey,Entire home/apt,4,1 bath,2,3,178
1138,Downtown,Entire home/apt,6,2 baths,2,4,250
1139,Kitsilano,Entire home/apt,6,2.5 baths,3,4,250
1140,Kitsilano,Entire home/apt,4,2 baths,2,2,209
1141,Mount Pleasant,Entire home/apt,3,1 bath,1,2,131
1142,Downtown,Entire home/apt,6,2 baths,3,3,184
1143,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,90
1144,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,83
1145,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,98
1146,Kitsilano,Entire home/apt,3,1 bath,1,1,111
1147,Downtown,Entire home/apt,4,1 bath,1,2,108
1148,Riley Park,Entire home/apt,8,1.5 baths,3,4,250
1149,Kerrisdale,Entire home/apt,4,1 bath,1,1,125
1150,South Cambie,Entire home/apt,6,1 bath,2,3,350
1151,Dunbar Southlands,Private room,2,1.5 shared baths,1,1,55
1152,South Cambie,Entire home/apt,3,1 bath,1,1,78
1153,Downtown,Entire home/apt,3,1 bath,2,2,239
1154,Kensington-Cedar Cottage,Private room,1,1 shared bath,1,1,38
1155,Sunset,Entire home/apt,6,1 bath,2,2,80
1156,Riley Park,Private room,1,1 shared bath,1,1,55
1157,Shaughnessy,Entire home/apt,4,1 bath,1,3,105
1158,Riley Park,Entire home/apt,2,1 bath,1,1,115
1159,Mount Pleasant,Entire home/apt,2,1 bath,1,2,99
1160,West End,Entire home/apt,5,2 baths,2,3,300
1161,Kitsilano,Entire home/apt,2,1.5 baths,1,1,110
1162,Downtown Eastside,Entire home/apt,2,1 bath,1,1,90
1163,Kitsilano,Entire home/apt,4,1 bath,2,2,256
1164,Downtown,Entire home/apt,3,1 bath,1,1,130
1165,Kensington-Cedar Cottage,Private room,2,1 private bath,1,1,60
1166,Kitsilano,Entire home/apt,4,1 bath,2,2,249
1167,Grandview-Woodland,Entire home/apt,4,1.5 baths,3,3,150
1168,Kitsilano,Private room,2,2 baths,1,1,80
1169,Downtown,Entire home/apt,3,1 bath,1,1,105
1170,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,85
1171,Downtown,Entire home/apt,2,1 bath,1,1,100
1172,Downtown Eastside,Entire home/apt,2,2 baths,1,1,152
1173,Fairview,Entire home/apt,3,1 bath,1,2,108
1174,Fairview,Entire home/apt,3,1 bath,1,2,185
1175,West End,Private room,2,1 shared bath,1,1,250
1176,Hastings-Sunrise,Entire home/apt,4,1 bath,2,2,85
1177,Downtown,Entire home/apt,4,2 baths,2,2,234
1178,Riley Park,Entire home/apt,6,1 bath,3,4,236
1179,Grandview-Woodland,Entire home/apt,7,3 baths,3,4,233
1180,Sunset,Entire home/apt,8,6 baths,4,4,659
1181,West End,Entire home/apt,3,1 bath,1,1,125
1182,Grandview-Woodland,Entire home/apt,6,1 bath,2,3,169
1183,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,1,2,103
1184,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,76
1185,Riley Park,Entire home/apt,4,1 bath,2,3,101
1186,Kitsilano,Entire home/apt,6,1 bath,3,3,395
1187,Kitsilano,Entire home/apt,4,1 bath,2,3,250
1188,Riley Park,Entire home/apt,4,1 bath,1,2,110
1189,Kitsilano,Entire home/apt,4,1 bath,2,2,100
1190,Riley Park,Entire home/apt,3,1.5 baths,2,2,80
1191,Hastings-Sunrise,Entire home/apt,5,1 bath,2,3,73
1192,Downtown,Private room,1,1 private bath,1,1,85
1193,Kitsilano,Entire home/apt,2,1 bath,1,1,99
1194,Downtown,Entire home/apt,6,2 baths,3,4,399
1195,Dunbar Southlands,Entire home/apt,4,1.5 baths,2,3,75
1196,Grandview-Woodland,Entire home/apt,4,1 bath,1,1,225
1197,Downtown,Private room,2,1 private bath,1,1,85
1198,West End,Shared room,2,1 shared bath,1,1,100
1199,Hastings-Sunrise,Private room,3,1 private bath,1,1,45
1200,Fairview,Entire home/apt,3,1 bath,1,1,94
1201,Kitsilano,Entire home/apt,4,2 baths,2,2,168
1202,Riley Park,Entire home/apt,7,2 baths,3,5,300
1203,Downtown,Entire home/apt,5,2 baths,2,3,449
1204,West Point Grey,Entire home/apt,8,3 baths,5,5,825
1205,Kerrisdale,Private room,2,1 shared bath,1,1,80
1206,Mount Pleasant,Entire home/apt,2,1 bath,1,2,139
1207,Downtown Eastside,Entire home/apt,3,1 bath,1,1,139
1208,Kitsilano,Private room,1,1 shared bath,1,1,51
1209,South Cambie,Private room,2,1 private bath,1,1,110
1210,Renfrew-Collingwood,Entire home/apt,3,1 bath,1,2,85
1211,Kensington-Cedar Cottage,Entire home/apt,5,1 bath,2,2,116
1212,Downtown Eastside,Entire home/apt,7,1 bath,3,4,293
1213,Kensington-Cedar Cottage,Private room,2,1 private bath,1,1,52
1214,Marpole,Private room,5,1 private bath,2,2,100
1215,South Cambie,Entire home/apt,4,1.5 baths,2,2,126
1216,Kitsilano,Entire home/apt,3,1 bath,1,1,75
1217,Fairview,Entire home/apt,2,1 bath,1,1,177
1218,Kitsilano,Entire home/apt,2,1 bath,1,1,80
1219,Kitsilano,Entire home/apt,2,1 bath,1,2,160
1220,Kensington-Cedar Cottage,Private room,2,1 private bath,2,2,40
1221,Kitsilano,Entire home/apt,4,1 bath,1,2,100
1222,Downtown,Entire home/apt,4,2 baths,2,2,178
1223,Downtown,Entire home/apt,2,1 bath,1,1,110
1224,West End,Entire home/apt,4,2.5 baths,2,2,268
1225,Downtown,Entire home/apt,2,1 bath,1,1,153
1226,Kitsilano,Entire home/apt,4,1.5 baths,2,2,300
1227,Strathcona,Private room,1,1 private bath,1,1,175
1228,Kensington-Cedar Cottage,Entire home/apt,6,1.5 baths,3,3,185
1229,Downtown,Entire home/apt,2,1 bath,1,1,89
1230,Downtown Eastside,Entire home/apt,2,1 bath,1,1,113
1231,Downtown,Entire home/apt,3,1 bath,1,2,120
1232,Hastings-Sunrise,Entire home/apt,3,1 bath,1,1,60
1233,Grandview-Woodland,Entire home/apt,5,2.5 baths,2,2,395
1234,Kerrisdale,Private room,2,2.5 shared baths,1,1,118
1235,Shaughnessy,Entire home/apt,2,1 bath,1,1,150
1236,Grandview-Woodland,Private room,2,1 shared bath,1,1,80
1237,South Cambie,Entire home/apt,4,1 bath,1,2,155
1238,West Point Grey,Entire home/apt,2,1 bath,1,1,170
1239,Kitsilano,Entire home/apt,5,1 bath,2,2,328
1240,Hastings-Sunrise,Entire home/apt,3,1 bath,1,2,149
1241,West End,Entire home/apt,3,1 bath,1,2,90
1242,Kerrisdale,Entire home/apt,10,2.5 baths,4,5,356
1243,Downtown,Entire home/apt,4,1 bath,1,2,302
1244,Downtown,Shared room,2,2 shared baths,1,5,341
1245,Kitsilano,Entire home/apt,2,1 bath,1,1,157
1246,Dunbar Southlands,Entire home/apt,6,2.5 baths,3,4,270
1247,Kitsilano,Entire home/apt,2,1 bath,1,2,87
1248,Downtown,Entire home/apt,6,2 baths,3,3,235
1249,Renfrew-Collingwood,Private room,1,1 shared bath,1,1,28
1250,Riley Park,Private room,1,0 baths,1,1,30
1251,Kitsilano,Entire home/apt,6,1 bath,3,3,250
1252,Kensington-Cedar Cottage,Entire home/apt,10,3 baths,5,7,499
1253,Kitsilano,Entire home/apt,2,1 bath,1,1,175
1254,Downtown,Entire home/apt,7,2 baths,2,4,179
1255,Hastings-Sunrise,Entire home/apt,6,1 bath,2,3,78
1256,Downtown Eastside,Entire home/apt,4,2 baths,2,2,176
1257,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,2,105
1258,Dunbar Southlands,Entire home/apt,4,1 bath,2,2,100
1259,Renfrew-Collingwood,Private room,4,1 private bath,2,2,151.43
1260,Dunbar Southlands,Private room,1,1 shared bath,1,1,46
1261,Hastings-Sunrise,Entire home/apt,5,1.5 baths,3,3,122
1262,Grandview-Woodland,Entire home/apt,7,1.5 baths,3,3,225
1263,Kerrisdale,Entire home/apt,5,2.5 baths,2,2,274
1264,Mount Pleasant,Entire home/apt,4,1 bath,2,2,120
1265,Kitsilano,Entire home/apt,4,2.5 baths,3,5,173
1266,West End,Entire home/apt,6,3 baths,3,3,285
1267,Renfrew-Collingwood,Entire home/apt,9,4 baths,5,5,375
1268,Downtown Eastside,Shared room,2,1 shared bath,1,1,179
1269,Arbutus Ridge,Private room,1,1 private bath,1,1,30
1270,Downtown,Private room,1,1 shared bath,1,1,91
1271,Kitsilano,Private room,2,1 shared bath,1,1,79
1272,Downtown Eastside,Entire home/apt,2,1 bath,1,1,83
1273,Renfrew-Collingwood,Entire home/apt,9,4 baths,5,5,495
1274,Sunset,Private room,2,1 private bath,1,1,75
1275,Sunset,Private room,2,1 shared bath,1,1,65
1276,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,46
1277,Fairview,Entire home/apt,4,2 baths,2,2,230
1278,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,69
1279,Fairview,Entire home/apt,2,1 bath,1,1,100
1280,Killarney,Private room,2,1 shared bath,1,1,55
1281,Hastings-Sunrise,Entire home/apt,6,1 bath,2,3,100
1282,Riley Park,Entire home/apt,2,1 bath,1,1,165
1283,Hastings-Sunrise,Entire home/apt,6,1 bath,2,2,100
1284,Kensington-Cedar Cottage,Private room,1,1 shared bath,1,1,35
1285,Downtown,Entire home/apt,2,1 bath,1,1,91
1286,Mount Pleasant,Entire home/apt,7,2 baths,3,3,99
1287,Mount Pleasant,Private room,4,1 private bath,2,2,120.4
1288,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,80
1289,Kitsilano,Entire home/apt,2,1 bath,1,1,135
1290,Downtown,Entire home/apt,3,1 bath,1,2,95
1291,Fairview,Entire home/apt,2,1 bath,1,1,205
1292,Downtown,Entire home/apt,2,1 bath,1,1,106
1293,Kerrisdale,Entire home/apt,4,1 bath,1,2,85
1294,Riley Park,Entire home/apt,6,2 baths,3,4,299
1295,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,99
1296,Fairview,Entire home/apt,5,2 baths,3,3,246
1297,Kitsilano,Entire home/apt,4,1 bath,1,1,36
1298,Downtown Eastside,Entire home/apt,3,1 bath,1,1,171
1299,Downtown,Entire home/apt,3,1 bath,1,1,327.57
1300,Riley Park,Entire home/apt,7,2.5 baths,3,3,450
1301,Oakridge,Entire home/apt,12,2 baths,2,12,200
1302,Hastings-Sunrise,Private room,1,1 shared bath,1,0,38
1303,Downtown,Entire home/apt,2,1 bath,1,1,250
1304,Riley Park,Entire home/apt,6,1 bath,3,4,200
1305,Grandview-Woodland,Private room,2,1 shared bath,1,1,41
1306,Grandview-Woodland,Entire home/apt,4,1.5 baths,2,3,189
1307,Kensington-Cedar Cottage,Private room,2,1 shared bath,1,1,128
1308,Renfrew-Collingwood,Private room,2,1.5 baths,1,1,55
1309,Riley Park,Entire home/apt,2,1 bath,1,1,105
1310,Riley Park,Private room,1,1 shared bath,1,1,31
1311,Kitsilano,Entire home/apt,4,1 bath,2,2,175
1312,Hastings-Sunrise,Entire home/apt,4,1.5 baths,1,2,64
1313,West Point Grey,Private room,2,1.5 baths,1,1,165
1314,South Cambie,Private room,5,1 shared bath,2,4,91
1315,Riley Park,Entire home/apt,4,1 bath,2,2,249
1316,Mount Pleasant,Entire home/apt,6,2.5 baths,3,4,400
1317,West End,Private room,1,2 baths,2,1,165
1318,Downtown,Entire home/apt,2,1 bath,1,1,99
1319,Downtown,Entire home/apt,4,1 bath,1,3,300
1320,Riley Park,Entire home/apt,6,1 bath,2,3,295
1321,Hastings-Sunrise,Private room,4,1 private bath,1,2,110
1322,Sunset,Private room,2,1 private bath,1,1,75
1323,Dunbar Southlands,Private room,2,1.5 shared baths,1,1,128
1324,Dunbar Southlands,Entire home/apt,3,1 bath,1,2,80
1325,Downtown,Entire home/apt,5,2 baths,2,3,239.29
1326,Marpole,Private room,2,1 private bath,1,1,98
1327,Downtown Eastside,Entire home/apt,5,2 baths,2,3,122
1328,Hastings-Sunrise,Private room,1,1 private bath,1,1,55
1329,Marpole,Entire home/apt,2,1 bath,1,1,89
1330,Kitsilano,Entire home/apt,2,1 bath,1,1,100
1331,Renfrew-Collingwood,Private room,2,1 shared bath,1,1,55
1332,Renfrew-Collingwood,Private room,2,1 private bath,1,1,55
1333,Grandview-Woodland,Private room,1,1 shared bath,1,1,33
1334,West Point Grey,Private room,4,3 baths,2,2,169
1335,West Point Grey,Private room,2,1.5 baths,1,1,148
1336,Downtown,Entire home/apt,2,1 bath,1,1,170
1337,Kensington-Cedar Cottage,Entire home/apt,4,2 baths,2,2,309.7
1338,Downtown Eastside,Entire home/apt,2,1 bath,1,1,93
1339,South Cambie,Entire home/apt,6,2 baths,2,2,160
1340,Fairview,Private room,1,1 private bath,1,1,96
1341,Hastings-Sunrise,Private room,1,1 private bath,1,1,68
1342,Kerrisdale,Private room,2,1 shared bath,1,1,30
1343,Kitsilano,Entire home/apt,4,2 baths,2,2,185
1344,Downtown Eastside,Entire home/apt,2,1 bath,1,1,120
1345,Downtown,Entire home/apt,2,1 bath,1,2,264
1346,Arbutus Ridge,Entire home/apt,10,3 baths,4,4,389
1347,Killarney,Private room,2,1 private bath,1,1,44
1348,Grandview-Woodland,Private room,1,1 shared bath,1,1,46
1349,West End,Private room,2,1 shared bath,1,1,53
1350,Kensington-Cedar Cottage,Entire home/apt,5,1.5 baths,3,2,250
1351,Downtown Eastside,Entire home/apt,4,1 bath,1,2,350
1352,West End,Entire home/apt,4,1 bath,1,4,139
1353,Kitsilano,Entire home/apt,4,1 bath,2,2,190
1354,Hastings-Sunrise,Entire home/apt,4,1 bath,2,3,114
1355,Renfrew-Collingwood,Private room,2,1 private bath,1,1,59
1356,Killarney,Entire home/apt,2,1 bath,1,1,65
1357,Renfrew-Collingwood,Private room,1,1 private bath,1,1,46
1358,Killarney,Private room,2,1.5 baths,1,1,47
1359,Mount Pleasant,Entire home/apt,3,1 bath,1,1,175
1360,Downtown,Private room,2,1 shared bath,1,1,55
1361,Killarney,Private room,2,1 shared bath,1,1,38
1362,West End,Entire home/apt,2,1 bath,1,1,150
1363,Marpole,Private room,2,1.5 shared baths,1,1,69
1364,Marpole,Private room,2,1.5 shared baths,1,1,99
1365,Marpole,Private room,2,1.5 shared baths,1,1,66
1366,Oakridge,Private room,2,1 shared bath,1,2,70
